loutput,lseeds,lland,llabour,lfertilizer,lpesticide,diste1,participation
7.33,3.76,2.2,3.74,5.66,4.14,4.28,0
7.48,3.93,1.1,3.83,4.63,3.69,4.28,0
7.42,4.68,1.39,4.36,5.97,5.29,4.3,0
6.65,3,0.69,3.66,5.9,5.08,4.3,0
6.26,3.11,0,3.89,4.23,2.08,4.28,0
7.45,4.5,1.39,4.56,5.38,5.19,4.3,0
6.26,4.03,-0.2,3.93,4.5,2.89,4.44,0
5.91,4.13,-0.2,4.09,4.56,2.83,4.44,0
7.24,4.32,0.69,4.62,4.84,4.04,4.68,0
5.73,3.53,0,3.37,5.05,4.17,4.28,0
7.47,4.5,1.25,4.66,5.51,3.87,4.68,0
8.25,4.43,1.79,5.25,5.46,5.48,4.42,0
7.12,3.5,0.69,4.3,5.17,4.8,1.03,0
6.79,3.2,0,3.37,4.63,3.99,3.81,0
7.24,4.44,1.1,4.39,5.53,5.43,4.42,0
7.25,4.17,1.1,4.51,5.66,5.47,3.23,0
6.59,4.06,0.41,4.06,4.92,4.56,4.39,0
6.7,3.69,0.41,3.22,4.87,3.22,4.56,0
7.18,3.84,1.39,4.09,6.19,4.94,3.81,0
6.43,3.97,0,3.74,4.87,3.91,3.81,0
6.68,4.43,0.69,3.87,5.29,4.87,3.81,0
7.65,4.87,1.39,4.74,5.62,4.28,3.23,0
7.47,4.51,1.39,4.67,5.6,4.44,4.43,0
7.23,3.71,1.39,4.52,5.56,4.91,3.22,0
6.78,3.61,1.1,4.23,5.15,4.25,3.22,0
5.6,2.77,0,3.87,4.26,4.29,3.22,0
7.15,4.51,1.1,4.45,5.16,4.1,3.88,0
5.42,3.45,0,3.61,4.14,3.8,3.88,0
7.59,4.71,1.5,4.8,5.6,3.14,4.42,0
7.46,4.2,0.69,4.41,5.05,4.8,4.46,0
5.23,3.48,0,3.4,4.32,4.06,1.03,0
5.89,3.75,0.41,3.87,4.61,3.3,4.39,0
7.34,3.83,1.61,3.87,5.63,4.26,4.42,0
7.08,2.98,0.41,4.51,4.74,4.26,4.34,0
5.74,1.1,-0.69,3.26,5.11,4.2,4.34,0
5.17,0.28,-0.69,2.77,2.44,3.33,4.57,0
7.33,4.04,1.1,4.56,5.62,5.17,1.89,0
4.97,2.48,-0.29,3,4.04,3.7,4.73,0
6.81,3,0,3.58,4.43,3.53,1.43,0
6.21,1.74,1.39,3.97,5.36,3.35,1.89,0
6.31,3.4,0.22,3.69,2.2,3.22,4.57,0
6.53,3.71,0.69,4.04,4.81,3.85,4.73,0
6.08,4.06,1.1,4.62,5.23,3.85,4.57,0
6.03,3.15,0.69,4.03,4.89,3.04,4.57,0
7.59,4.5,1.39,4.19,5.43,5.28,4.46,0
6.92,3.89,0.41,3.78,4.88,4.64,4.28,0
7.29,4.2,1.45,4.79,5.45,4.43,4.28,0
7.58,3.83,1.79,3.71,6.69,4.62,4.54,0
8.04,4.45,1.39,5.08,6.03,5.83,4.32,0
7.95,4.45,1.39,4.97,6.05,6.03,4.39,0
7.68,4.17,0.69,4.43,5.36,5.09,4.27,0
6.42,3.5,0.69,4.08,4.98,4.16,4.58,0
7.07,6.62,0.22,4.47,4.98,4.95,4.36,0
7,3.93,0.41,4.09,4.96,4.98,4.39,0
6.22,2.3,0.41,2.77,5.04,5.39,4.31,0
6.87,4.09,0.41,3.26,5.6,4.31,4.31,0
6.44,4.14,1.39,3.95,5.74,4.03,4.35,0
7.21,4.61,0.69,3.74,5.72,4.58,4.35,0
6.68,3.51,0.69,3.78,4.88,5.69,4.35,0
6.48,2.77,-0.29,3,4.61,4.11,4.35,0
6.84,3.51,0.92,4.48,5.3,4.75,4.39,0
7.3,3.87,1.39,4.95,5.68,5.32,2.64,0
7.14,4.44,1.1,4.32,5.56,5.51,4.37,0
7.18,4.44,1.1,4.38,5.43,5.32,4.37,0
6.25,3.5,0,3.91,4.68,3.69,4.27,0
6.51,3.81,0.56,4.03,5.13,4.01,4.26,0
7.53,4.56,1.1,4.54,5.49,4.62,4.26,0
8,4.87,1.39,4.96,6.27,5.91,4.27,0
6.14,3.62,0.41,4.26,5.36,3.18,4.32,0
6.56,3,0.41,3,5.3,3.97,4.11,0
7.93,5.31,2.08,5.38,6.07,5.23,3.7,0
7.94,5.27,2.08,5.25,5.85,5.1,3.7,0
6.17,3.47,0,3.53,4.25,3.99,3.88,0
7.24,4.72,1.39,4.67,5.53,4.28,4.54,0
6.86,4.23,0.69,4.33,5.03,5.31,4.5,0
6.59,4.62,0.69,3.76,4.99,4.76,3.66,0
6.8,4.03,0.81,4.6,5.4,5.11,2.64,0
7.11,5.42,0.69,3.74,5.41,4.13,3.28,0
6.78,3.91,0.69,3.33,4.61,4.45,4.54,0
6.8,3.71,1.39,4.06,5.56,4.25,4.03,0
6.12,2.71,0,3.74,5.16,3.4,2.64,0
6.92,4.17,0.69,4.3,5.05,4.04,2.64,0
7.81,4.7,1.39,4.94,5.91,5.47,4.54,0
6.4,2.89,0,3.66,4.34,4.03,4.46,0
6.21,3.4,0,3.5,4.68,3.47,2.64,0
7.12,4.25,0.92,4.69,5.6,4.3,4.06,0
5.17,2.53,-0.69,3.18,4.16,2.08,4.06,0
6.94,4.23,0.69,4.14,5.2,5.34,4.13,0
7.13,4.44,1.1,4.13,5.44,5.44,3.99,0
7.26,4.44,1.1,4.3,5.28,5.62,3.99,0
5.98,3.18,0,3.66,4.62,4.7,3.99,0
6.89,4.17,0.69,4.22,5.38,5.33,4.13,0
6.01,3,0,3.61,5.04,4.79,4.13,0
7.37,4.28,1.01,4.54,5.34,4.2,4.07,0
6.54,4.29,0.69,4.45,5.24,4.97,4.01,0
6.45,3.97,0.69,3.91,5.04,4.22,4.02,0
7.25,4.48,1.1,4.13,5.58,5.21,4.02,0
6.18,1.83,0.69,3.95,5.78,4.61,4.05,0
5.95,3.22,0,2.77,4.13,3.45,4.05,0
6.39,3.5,0.69,3.61,5.09,3.5,4.05,0
7.02,4.16,1.79,3.87,4.13,3.81,4.17,0
6.76,1.1,0,4.29,5.05,4.63,4.27,0
6.96,3.89,1.39,4.57,5.63,4.64,4.39,0
5.75,0.3,-0.69,3.37,4.26,3.78,4.59,0
7.52,5.03,2.4,4.19,5.68,3.4,4.68,0
8.21,4.47,1.39,5.02,5.5,5.91,4.32,0
7.15,5.39,1.66,5.23,6.09,5.4,4.14,0
6.09,3.69,0,2.83,3.83,3.58,4.54,0
7.28,4.36,0.92,4.6,5.55,4.34,4.06,0
7.68,5.1,1.25,4.28,5.7,4.5,4.31,0
6.96,4.26,0.69,4.41,5.05,4.43,4.67,0
5.54,3.46,0,3.33,3.87,4.34,4.13,0
7.03,3.56,1.1,4.74,5.51,4.99,4.37,0
7.19,3.48,0.92,4.45,5.07,3.86,3.85,0
6.89,4.11,0.69,4.43,4.86,4.13,4.07,0
6.46,3.14,0.69,4.16,4.43,4.38,3.93,0
7.34,4.29,1.5,4.7,5.46,4.25,3.93,0
7.58,3.96,1.79,4.89,5.83,4.84,3.93,0
5.39,2.56,-0.69,3.04,3.99,3,3.88,0
6.86,3.78,0.41,4.11,4.81,4.04,3.9,0
7.24,3.89,0.69,4.34,5.28,4.66,3.9,0
7.74,3.79,1.1,4.9,5.34,5.28,3.62,0
8.41,4.47,1.79,5.47,6.14,6.08,3.85,0
7.17,4.61,1.1,4.49,5.6,4.46,3.72,0
6.35,3.69,0.26,4.29,4.74,3.56,3.85,0
5.86,2.3,0,2.94,5.19,3.78,3.86,0
8.58,5.27,1.79,5.42,5.98,6.34,3.85,0
6.04,3.18,0,3.64,4.86,4.74,3.89,0
5.92,3.18,0,3.61,4.76,4.67,3.89,0
5.96,2.53,0.92,4.32,4.99,4.38,3.48,0
6.55,3.16,0.69,3.91,5.15,4.3,3.51,0
6.07,3.48,0,3.76,4.33,3.51,3.13,0
5.68,3.48,0,3.85,4.36,3.33,3.73,0
5.86,3.22,0,2.83,4.13,3.97,3.86,0
5.39,2.71,-0.69,2.77,4.38,3.58,3.05,0
6.21,3.18,0,3.61,4.61,4.23,3.9,0
5.77,3.53,0,4.06,3.91,3.28,3.52,0
7.35,4.14,1.1,4.78,5.43,4.33,4.5,0
5.9,3.11,0,3.91,4.36,3.54,2.64,0
7.23,3.48,1.25,4.8,6.05,4.09,3.92,0
6.4,4.26,0.22,4.08,4.98,3.58,4.36,0
6.73,4.01,0.41,4.17,4.96,3.97,4.27,0
7.25,4.25,0.92,4.77,5.61,3.95,3.92,0
8.73,4.86,1.79,5.42,6.66,6.35,3.85,0
6.58,3.47,0,3.66,4.33,3.69,3.73,0
5.63,3.47,0,3.78,4.19,3.74,3.72,0
6.14,3.47,0,3.78,4.23,3.69,4,0
6.37,3.5,0,3.87,4.23,3.78,3.89,0
6.63,4.19,0.69,4.17,5.09,4.53,4.14,0
6.75,3.94,0.41,4.16,4.94,4.5,4.57,0
6.84,4.04,0.41,3.95,4.88,3.91,4.57,0
6.09,3.25,0.41,3.74,5.1,4.09,4.28,0
6.46,3.69,0,3.14,4.56,4.13,4.28,0
6.31,3.83,0.69,3.83,5.32,3.89,1.58,0
7.5,3.26,0.69,3.37,5.09,3.57,4.68,0
6.81,4.19,0.69,4.13,4.98,4.43,1.43,0
7.23,4.44,1.1,4.13,5.42,5.68,4.46,0
7.14,4.14,0.69,4.14,4.93,4.16,1.89,0
5.7,3.5,0,3.83,4.23,3.69,4.46,0
6.35,3.5,0,3.85,4.23,3.85,1.89,0
7.41,4.65,1.1,4.61,5.52,4.65,1.89,0
6.78,4.17,0.69,4.06,4.93,4.16,4.73,0
6.92,4.17,0.69,4.17,5.06,5.33,3.81,0
7.29,4.44,1.1,4.36,5.59,5.58,3.23,0
6.66,3.82,0.41,4.01,4.82,3.87,4.34,0
6.51,3.76,0.41,2.89,5.38,4.3,4.46,0
6.05,3.22,0,2.83,5.4,4.19,3.59,0
6.93,4.23,0.69,4.16,5.05,5.3,3.81,0
5.74,3.62,0,3.09,4.74,3.78,4.46,0
5.29,3.4,0,2.56,4.34,3.09,3.35,0
6.91,3.9,1.1,4.44,5.22,4.39,4.43,0
7.19,4.51,1.39,4.71,5.05,4.84,4.43,0
6.91,3.91,0.69,3.78,5.34,3,4.43,0
6.71,3.58,0,3.87,4.25,4.09,4.65,0
6.28,3.64,0,4.04,4.61,4.01,3.66,0
7.06,3.94,1.1,4.29,5.48,4.52,4.43,0
